iter	MultiClass
286	0.1715911508
287	0.1715509905
288	0.1715155253
289	0.1714756821
290	0.1714118207
291	0.1713741524
292	0.1713368318
293	0.171264426
294	0.1712191711
295	0.1711984805
296	0.1711436279
297	0.1711113795
298	0.1710304374
299	0.170982146
300	0.1709541519
301	0.1708762895
302	0.1708338803
303	0.170757085
304	0.1707094464
305	0.1706799966
306	0.1706549874
307	0.1706326027
308	0.1705960366
309	0.1705504862
310	0.1704815993
311	0.1704611617
312	0.1704194815
313	0.170391362
314	0.1703401878
315	0.1703189705
316	0.1702950206
317	0.1702595118
318	0.170203678
319	0.1701795852
320	0.1701378794
321	0.1701136802
322	0.170074753
323	0.1700216611
324	0.1699934959
325	0.1699765212
326	0.1699482453
327	0.1699195215
328	0.1698827162
329	0.1698444101
330	0.1698065821
331	0.1697468253
332	0.1697018537
333	0.169675871
334	0.1696567508
335	0.1696296882
336	0.1695992636
337	0.1695767387
338	0.169545056
339	0.1695012412
340	0.1694319244
341	0.1694103612
342	0.1693653777
343	0.1693216426
344	0.1692923692
345	0.1692579578
346	0.1692241127
347	0.1692057831
348	0.169140464
349	0.1691174087
350	0.1690961794
351	0.1690576525
352	0.1689967654
353	0.1689726983
354	0.1689466997
355	0.1689071079
356	0.1688805691
357	0.1688513859
358	0.1688269385
359	0.1687887637
360	0.1687622588
361	0.1687201646
362	0.1686728985
363	0.1686556321
364	0.1686282127
365	0.1685990793
366	0.1685543732
367	0.1685153516
368	0.168482394
369	0.1684476234
370	0.1684243483
371	0.1683941832
372	0.1683803738
373	0.1683229747
374	0.1682851991
375	0.1682542693
376	0.1682284431
377	0.1681939104
378	0.1681581193
379	0.1681341818
380	0.1680950798
381	0.1680598147
382	0.1680069296
383	0.1679834869
384	0.1679692706
385	0.1679252487
386	0.1678794691
387	0.1678148317
388	0.167777879
389	0.1677469191
390	0.1677269989
391	0.1676972124
392	0.1676652283
393	0.1676481028
394	0.1676061597
395	0.167576625
396	0.1675497064
397	0.1675340366
398	0.1675116117
399	0.1674753747
400	0.1674503739
401	0.1674312771
402	0.1674117444
403	0.1673763702
404	0.1673297684
405	0.1673105726
406	0.1672839955
407	0.167269131
408	0.167226413
409	0.1672025624
410	0.1671545912
411	0.1671347828
412	0.1670881428
413	0.1670599377
414	0.167015971
415	0.1669890058
416	0.166929796
417	0.1668936418
418	0.1668662644
419	0.1668373748
420	0.1668026455
421	0.1667889797
422	0.1667538476
423	0.166729644
424	0.166696019
425	0.1666753283
426	0.1666261786
427	0.166597974
428	0.16655987
429	0.1665189726
430	0.1664922151
431	0.1664650112
432	0.1664337292
433	0.1663983627
434	0.1663524746
435	0.1663306849
436	0.1662934554
437	0.1662733217
438	0.1662538046
439	0.1662153745
440	0.1662032297
441	0.1661816791
442	0.1661352954
443	0.1661060616
444	0.1660644752
445	0.166048813
446	0.1660276107
447	0.1660016917
448	0.1659809127
449	0.1659497876
450	0.1659228788
451	0.1658915576
452	0.1658657762
453	0.1658374994
454	0.1658033563
455	0.1657670649
456	0.1657342028
457	0.1657150392
458	0.1656806615
459	0.1656527098
460	0.165631079
461	0.1655973375
462	0.1655628588
463	0.1655344167
464	0.1655054085
465	0.1654788342
466	0.1654396978
467	0.1654080449
468	0.1653725984
469	0.165359372
470	0.1653036377
471	0.1652740872
472	0.1652515695
473	0.1652062684
474	0.1651829441
475	0.165167844
476	0.1651437192
477	0.1651225522
478	0.1650813569
479	0.1650574319
480	0.1650444524
481	0.165014617
482	0.1649768531
483	0.1649432379
484	0.1649126518
485	0.1648787833
486	0.1648559415
487	0.164825622
488	0.1647862473
489	0.1647542916
490	0.1647203122
491	0.1646974319
492	0.1646731182
493	0.1646325243
494	0.1646171016
495	0.1645896172
496	0.1645591959
497	0.1645485786
498	0.1645245925
499	0.1644986759
500	0.1644728091
501	0.1644295632
502	0.1643963878
503	0.1643686279
504	0.1643531989
505	0.1643190195
506	0.1642995015
507	0.1642589487
508	0.1642047291
509	0.1641771223
510	0.1641587853
511	0.1641344986
512	0.1641149584
513	0.1640885566
514	0.1640585777
515	0.1640365757
516	0.164016794
517	0.1639936505
518	0.1639664191
519	0.1639439441
520	0.1639167863
521	0.163900799
522	0.1638790024
523	0.1638662951
524	0.1638323146
525	0.1638013681
526	0.1637722952
527	0.1637549567
528	0.1637315948
529	0.1636906874
530	0.1636709891
531	0.1636273326
532	0.1636029524
533	0.163581452
534	0.1635680443
535	0.1635450363
536	0.1635070273
537	0.1634883032
538	0.1634703118
539	0.1634332409
540	0.1634052555
541	0.1633873504
542	0.163367658
543	0.1633342189
544	0.1633179136
545	0.163297878
546	0.1632725057
547	0.1632514737
548	0.1632301218
549	0.1632017525
550	0.1631791639
551	0.1631635616
552	0.1631353859
553	0.1631034983
554	0.1630736237
555	0.1630412148
556	0.1630030806
557	0.1629779861
558	0.162949474
559	0.1629224907
560	0.1628933583
561	0.1628697054
562	0.1628473742
563	0.162835287
564	0.1628151153
565	0.1628034966
566	0.1627727188
567	0.1627533097
568	0.1627236089
569	0.162695983
570	0.1626799855
571	0.162645644
572	0.1626251577
573	0.1625952605
574	0.1625724272
575	0.1625414659
576	0.1625156471
577	0.1624665948
578	0.1624454344
579	0.1624290095
580	0.1623912421
581	0.1623685301
582	0.1623521672
583	0.162319806
584	0.1622715879
585	0.1622366407
586	0.1622106082
587	0.1621786142
588	0.1621609587
589	0.1621394738
590	0.16212904
591	0.1621121091
592	0.1620820818
593	0.162063512
594	0.1620313095
595	0.1620125659
596	0.161986217
597	0.1619699141
598	0.161945348
599	0.1619177255
