iter	Passed	Remaining
402	10027	4901
403	10049	4875
404	10073	4850
405	10096	4824
406	10121	4799
407	10143	4773
408	10188	4757
409	10210	4731
410	10233	4706
411	10257	4680
412	10281	4655
413	10305	4629
414	10330	4605
415	10354	4579
416	10378	4554
417	10400	4528
418	10423	4502
419	10446	4477
420	10468	4450
421	10489	4424
422	10511	4398
423	10535	4373
424	10559	4348
425	10582	4322
426	10606	4297
427	10630	4272
428	10653	4246
429	10678	4221
430	10701	4196
431	10726	4171
432	10749	4145
433	10773	4120
434	10797	4095
435	10820	4070
436	10843	4044
437	10867	4019
438	10890	3994
439	10915	3969
440	10935	3942
441	10959	3917
442	10984	3892
443	11009	3868
444	11031	3842
445	11054	3817
446	11078	3792
447	11101	3766
448	11123	3740
449	11146	3715
450	11173	3691
451	11196	3665
452	11219	3640
453	11242	3615
454	11264	3589
455	11287	3564
456	11310	3539
457	11333	3513
458	11356	3488
459	11382	3464
460	11405	3439
461	11430	3414
462	11453	3389
463	11478	3364
464	11502	3339
465	11525	3314
466	11547	3288
467	11571	3263
468	11596	3239
469	11618	3213
470	11642	3188
471	11666	3163
472	11687	3138
473	11710	3113
474	11734	3087
475	11755	3062
476	11778	3037
477	11804	3012
478	11828	2988
479	11852	2963
480	11874	2937
481	11897	2912
482	11920	2887
483	11943	2862
484	11965	2837
485	11989	2812
486	12013	2787
487	12036	2762
488	12060	2737
489	12084	2712
490	12109	2688
491	12132	2663
492	12155	2638
493	12178	2613
494	12202	2588
495	12230	2564
496	12252	2539
497	12273	2513
498	12296	2488
499	12319	2463
500	12341	2438
501	12364	2413
502	12387	2388
503	12410	2363
504	12435	2339
505	12458	2314
506	12482	2289
507	12506	2264
508	12532	2240
509	12556	2215
510	12579	2190
511	12601	2165
512	12624	2141
513	12649	2116
514	12673	2091
515	12695	2066
516	12718	2041
517	12741	2017
518	12765	1992
519	12788	1967
520	12812	1942
521	12835	1917
522	12879	1896
523	12902	1871
524	12926	1846
525	12950	1821
526	12972	1797
527	12995	1772
528	13017	1747
529	13040	1722
530	13065	1697
531	13089	1673
532	13113	1648
533	13137	1623
534	13159	1598
535	13182	1574
536	13206	1549
537	13228	1524
538	13251	1499
539	13276	1475
540	13299	1450
541	13323	1425
542	13345	1400
543	13366	1375
544	13389	1351
545	13412	1326
546	13435	1301
547	13459	1277
548	13484	1252
549	13508	1228
550	13531	1203
551	13554	1178
552	13577	1153
553	13600	1129
554	13623	1104
555	13646	1079
556	13670	1055
557	13695	1030
558	13719	1006
559	13742	981
560	13766	957
561	13789	932
562	13812	907
563	13835	883
564	13858	858
565	13881	833
566	13906	809
567	13930	784
568	13953	760
569	13976	735
570	13999	710
571	14023	686
572	14047	661
573	14069	637
574	14091	612
575	14117	588
576	14139	563
577	14164	539
578	14187	514
579	14210	490
580	14233	465
581	14257	440
582	14279	416
583	14304	391
584	14329	367
585	14352	342
586	14376	318
587	14400	293
588	14423	269
589	14445	244
590	14467	220
591	14490	195
592	14513	171
593	14538	146
594	14561	122
595	14585	97
596	14607	73
597	14629	48
598	14652	24
599	14675	0
